,name,description,url,datePublished,articleContent
0,"2 Flu Deaths and Nearly 1,400 Cases Reported Last Week","Two additional flu deaths were reported in the region, bringing this season’s total to 10, the County Health and Human Services Agency announced today.",https://www.countynewscenter.com/2-flu-deaths-and-nearly-1400-cases-reported-last-week/,2020-01-02T09:02:07-08:00,"
Influenza cases reported last week in San Diego County rose to a season high of 1,390 cases, the County Health and Human Services Agency announced today.
Two additional flu deaths were identified in the region, bringing this season’s total to 10.  A 77-year-old man died Dec. 24, and a 75-year-old man died Dec. 21. Both died from influenza A, and both had underlying medical conditions.
“The significant jump in new cases indicates that influenza is widespread in the county, just like it is in the state and throughout most of the nation,” said Thomas R. Coleman, M.D., M.S., acting County public health officer. “Our condolences go out to the families and friends of those who died from influenza this year.”
The number of lab-confirmed cases rose 643 last week when 1,390 cases were reported, compared to 747 cases the previous week.
The County Health and Human Services Agency publishes the Influenza Watch weekly report, which tracks key flu indicators and summarizes influenza surveillance in the region.
For the week ending Dec. 28, 2019, the report shows the following:

Emergency department visits for influenza-like illness: 8% of all visits (compared to 5% the previous week, which was revised downward from 7% from the prior report)
Total influenza deaths to date: 10 (compared to 9 at this time last season)
Total lab-confirmed cases to date: 3,838 (compared to 1,729 last season)

How to Prevent the Flu
The Centers for Disease Control and Prevention recommends that everyone 6 months and older get a flu shot every year. It takes about two weeks for immunity to develop.
Flu vaccination is especially important for people who are at high risk of developing serious complications from influenza. They include:

People with chronic medical conditions like asthma, diabetes and lung disease, even if symptoms are under control
Pregnant women
People aged 65 years and older
People who live with or care for others who are at higher risk

In addition to getting vaccinated, people should also do the following to avoid getting sick:

Wash hands thoroughly and often
Use hand sanitizers
Stay away from sick people
Avoid touching your eyes, nose, and mouth
Clean commonly touched surfaces
If you are sick, stay home and avoid contact with others

The flu vaccine is available at doctors’ offices and retail pharmacies. If you don’t have medical insurance, you can go to a County public health center to get vaccinated. For a list of locations, visit www.sdiz.org or call 211 San Diego.
 "
1,Top 10 Library Book and Movie Checkouts of 2019,"The beginning of the new year is the perfect time to set some reading goals for the months ahead! San Diego County Library has released its top 10 checkout list for 2019. Get some inspiration for your 2020 reading list and see if your favorite books, e-books and DVDs from last year made the cut.",https://www.countynewscenter.com/top-10-library-book-and-movie-checkouts-of-2019/,2020-01-02T10:10:06-08:00,"
The beginning of the new year is the perfect time to set some reading goals for the months ahead! San Diego County Library has released its top 10 checkout list for 2019. Get some inspiration for your 2020 reading list and see if your favorite books, e-books and DVDs from last year made the cut.
Ready to leave the last decade behind and start this one off with some fresh recommendations? County librarians can tell you what to watch for in 2020 and help you find your next favorite book or movie. For recommendations, visit the library in person or go online.
The items below all fall under the “grown-up” category and do not include children’s books.
Books
“Where The Crawdads Sing” by Delia Owens
“Dark Sacred Night” by Michael Connelly
“Becoming” by Michelle Obama
“The Great Alone” by Kristin Hannah
“The Reckoning” by John Grisham
“Nine Perfect Strangers” by Liane Moriarty
“Long Road to Mercy” by David Baldacci
“Past Tense: A Jack Reacher Novel” by Lee Child
“Crazy Rich Asians” Kevin Kwan
“The President is Missing: A Novel” by James Patterson
EBooks
“The Great Believers” by Rebecca Makkai
“Where The Crawdads Sing” by Delia Owens
“Becoming” by Michelle Obama
“Educated: A Memoir” Tara Westover
“Nine Perfect Strangers” by Liane Moriarty
“Past Tense: A Jack Reacher Novel” by Lee Child
“The Reckoning” by John Grisham
“Crazy Rich Asians” by Kevin Kwan
“Little Fires Everywhere” by Celeste Ng
“The Great Alone” by Kristin Hannah
Movies (Based on DVD and Blu-Ray checkouts)
“The Greatest Showman”
“Avengers, Infinity War”
“Jumanji, Welcome to the Jungle”
“Ant-Man and the Wasp”
“Crazy Rich Asians”
“Star Wars Solo: A Star Wars Story”
“Black Panther”
“Jurassic World: Fallen Kingdom”
“Spider-Man Homecoming”
“A Star is Born”
 
 "
2,VIDEO: County Connection – January 2020,"In this episode, see how Department of Public Works clears the roads when it rains, how 150 foster families are setting up new computers, how a drum is therapeutic, how come County employees saved a co-workers life, and how the County can help you keep those New Years resolutions for 2020.",https://www.countynewscenter.com/county-connection-january-2020/,2020-01-02T10:50:07-08:00,"
In this episode, see how Department of Public Works clears the roads when it rains, how 150 foster families are setting up new computers, how a drum is therapeutic, how some County employees saved a co-workers life, and how the County can help you keep those New Years resolutions for 2020.
 "
3,Resolve to Be an Even Better Pet Owner in 2020,"The new year is always a time to reflect on where you’ve been, where you’re headed and how to improve yourself. Consider protecting your pets as an area to improve in for this new decade.",https://www.countynewscenter.com/resolve-to-be-an-even-better-pet-owner-in-2020/,2020-01-02T15:29:35-08:00,"
The new year is always a time to reflect on where you’ve been, where you’re headed and how to improve yourself. Consider protecting your pets as an area to improve in for this new decade.
How can this be done when you feel you are already a good pet owner? See the seven resolutions below from County Animal Services. Perhaps, you’re halfway there already.
Seven pet owner resolutions for the New Year:

Make sure both your dog and cat are vaccinated against rabies.
License your dog.
(Those first two are legally required for dogs.)
Register your dog and cat with Finding Rover, which can help you find them if they’re lost.
Microchip your dogs, cats and rabbits. If they’re already microchipped, make sure your information is current.
Get your dog and cat spayed or neutered.
Create a disaster plan for your pets.
Give your pet attention. Play catch with your dog, toss a toy to your cat, and give any furry or feathered friend the appropriate interaction. And have fun!

Appointments aren’t necessary for microchips or rabies vaccinations. Stop by at either one of the County’s two shelter locations in Carlsbad or Bonita during normal business hours. They’re open from 9:30 a.m. to 5:30 p.m. Tuesday through Sunday. For general information about County Animal Services, visit www.sddac.com.
 "
4,Top Baby Names in San Diego County in 2019 and Past Decade,The County Health and Human Services Agency records all births in the region. Here are the top baby names parents chose in 2019 and the past decade.,https://www.countynewscenter.com/top-baby-names-in-san-diego-county-in-2019-and-past-decade/,2020-01-03T10:24:19-08:00,"
The County Health and Human Services Agency records all births in the region.
A total of 36,591 babies were born in the region last year: 18,633 boys and 17,958 girls. Figures for 2019 are preliminary.
In the past decade, a total of 425,175 babies were born in San Diego County: 217,801 boys and 207,372 girls.
Below are the top baby names parents chose in 2019 and the past decade. See which ones topped the list in 2018 and how they ranked in 2017.




 "
5,County Debuts Bike Skills Park With Professional Course Demonstration,"County officials held a grand opening Saturday for the Sweetwater Bike Park, a first-of-its-kind installment for County Parks offering a variety of bike trails and special skills courses.",https://www.countynewscenter.com/county-debuts-bike-skills-park-with-professional-course-demonstration/,2020-01-04T16:04:44-08:00,"
County officials held a grand opening Saturday for the Sweetwater Bike Park, a first-of-its-kind installment for County Parks offering a variety of bike trails and special skills courses.
Professional bike riders burst through a giant red ribbon banner and showed kids, and adults, what they could aspire to when on the specially designed course.
The $1.9 million, 4.2-acre park is located at 6057 San Miguel Road in Bonita and is open daily from 9:30 a.m. to sunset. There is no cost for riders who can try out a range of attractions that allow them to improve their skills over time.
The features include four jump lines ranging from beginner to expert, a jump track, a kid’s pump track, a skill zone, two flow trails, a perimeter trail to connect the different features and an entry plaza for group meet-ups and special events.
The Sweetwater Bike Park supports the County’s Live Well San Diego vision of a healthy, safe and thriving region by creating opportunities for outdoor recreation.
To learn more, visit the County of San Diego’s Parks and Recreation Sweetwater Bike Park page.
 "
6,Live Well San Diego Kicks Off 10th Anniversary Celebration,"Live Well San Diego kicked off its 10th anniversary celebration this weekend with a pair of fun activities. The County’s vision for a region that is healthy, safe and thriving was celebrated at a San Diego Gulls ice hockey game and during the grand opening of the new Sweetwater Bike Park.",https://www.countynewscenter.com/live-well-san-diego-kicks-off-10th-anniversary-celebration/,2020-01-06T12:45:07-08:00,"
Live Well San Diego kicked off its 10th anniversary celebration this weekend with a pair of fun activities. The County’s vision for a region that is healthy, safe and thriving was celebrated at a San Diego Gulls ice hockey game and during the grand opening of the new Sweetwater Bike Park.
During their game against the Bakersfield Condors on Saturday night, the San Diego Gulls became the newest Live Well San Diego partner, bringing the total number of recognized partner organizations to 479. The Gulls were presented with a proclamation from the County Board of Supervisors recognizing the organization’s commitment to advancing the Live Well San Diego vision.
“We were proud to welcome the San Diego Gulls as a Live Well San Diego partner during Saturday’s game. It was great so many County of San Diego employees were in attendance,” said Supervisor Nathan Fletcher. “Athletes and sports teams understand the importance of living a healthy lifestyle and set a great example for all of us. The hard work and dedication the Gulls make daily to Live Well San Diego should be an inspiration to us all. It’s great to have them on the Live Well team.”
Launched in 2010, the Live Well San Diego vision was created by the County in response to statistics that found that throughout the nation and locally three behaviors (poor nutrition, lack of physical activity and tobacco use) were contributing to four diseases (heart disease/stroke, cancer, Type 2 diabetes and respiratory conditions) that resulted in more than 50% of deaths in San Diego County.
To address these issues, the County partnered with schools, government agencies, businesses, neighborhood-based organizations and other entities to leverage existing resources to improve the health and well-being of all County residents.
In the past decade, organizations and individuals have shared their knowledge, resources and ideas to address a broad spectrum of community concerns, from access to health care to crime prevention to improving the natural environment.
The 10th anniversary kickoff events over the weekend were the first of many planned for the coming months. The next event will be Love Your Heart on Valentine’s Day, Friday, February 14. For more information on all upcoming Live Well San Diego events, visit the Live Well San Diego 10th anniversary website.
 "
7,Dog Found Starving Now Ready for Adoption,"When Flaco, a 2-year-old fawn colored pit bull mix, first came to the County Department of Animal Services, he was emaciated. But under veterinary care, he has gained 13 pounds and is now available for adoption.",https://www.countynewscenter.com/dog-found-starving-now-ready-for-adoption/,2020-01-06T14:44:56-08:00,"
When Flaco, a 2-year-old fawn colored pit bull mix, first came to the County Department of Animal Services, he was emaciated. But under veterinary care, he has gained 13 pounds and is now available for adoption.
He was found running loose in Ramona in early December and was literally starving.
“He was so severely neglected that he only weighed 33 pounds. So, our staff appropriately named him Flaco, which means skinny in Spanish,” said Dan DeSousa, director of the County Department of Animal Services.
This is how thin Flaco was when found in early December.
“After receiving veterinary care, which included love and attention from the veterinary and animal care staff, Flaco is now at a healthy weight and is just looking for someone to love and feed him.”
Despite everything he has gone through, he is very loving to people and seeks out affection from staff, DeSousa said.
“We really think he should be an only dog. He deserves all the love and attention in the house,” DeSousa said.
Flaco, who is neutered, is available at the Southern Region shelter, 5821 Sweetwater Road in Bonita starting at 10:30 a.m. Jan. 7 for a $75 adoption fee. His ID number is A1868841, his neck tag is S886 and his kennel number is S018. Be aware that the adoption process can take up to two hours. You can shorten that by prefilling out an adoption application at home.
Shelter staff recommend you bring your family so everyone can meet ahead of time. In some cases, people can play with a chosen pet for 15 to 30 minutes to make sure it is a good fit for the family.
Be sure to take a look at all available animals, in case Flaco finds a home quickly, as there are many dogs and cats looking for love in the new year. If getting another dog or cat, shelter staff also recommend that you bring pets with you to meet any new potential addition and see how the animals interact.
 "
8,"Eleventh San Diego Flu Death, Over 1,600 New Cases Reported","Influenza-related deaths in the region rose to 11 last week and more than 1,600 flu cases were reported, the County Health and Human Services Agency announced today.",https://www.countynewscenter.com/eleventh-san-diego-flu-death-over-1600-new-cases-reported/,2020-01-08T12:25:39-08:00,"
Influenza-related deaths in the region rose to 11 last week and more than 1,600 flu cases were reported, the County Health and Human Services Agency announced today.
The latest flu fatality is a 51-year-old woman from North County who died from influenza A on Dec. 31, 2019. She had underlying medical conditions.
To date, 11 influenza deaths have been reported locally, the same number as this time last year.
The number of lab-confirmed flu cases jumped again last week, when 1,623 cases were reported, 260 more than the previous week when 1,363 flu cases were recorded.
“Given the high number of cases, influenza activity in the region continues to be widespread, just like it is in other parts of the nation,” said Wilma Wooten, M.D., M.P.H., County public health officer. “The best protection against the flu is getting vaccinated.”
When to Seek Medical Help
Influenza-like illnesses at local emergency departments also rose to 9% last week, compared to 8% the prior week.
People with influenza-like symptoms are crowding local emergency departments and taxing some hospitals.
County health officials are encouraging people who are sick to first contact their health care provider by telephone or arrange an urgent appointment.  You should go to an emergency department when you have any of the following symptoms:

Difficulty breathing or shortness of breath
Chest pain or abdominal pain
Sudden dizziness
Confusion
Severe or persistent vomiting
Flu-like symptoms that appear to get better, but then return with a fever and worse cough

The County Health and Human Services Agency publishes the Influenza Watch weekly report, which tracks key flu indicators and summarizes influenza surveillance in the region.
For the week ending Jan. 4, 2020, the report shows the following:

Emergency department visits for influenza-like illness: 9% of all visits (compared to 8% the previous week)
Total influenza deaths to date: 11 (compared to 11 at this time last season)
Total lab-confirmed cases to date: 5,434 (compared to 2,133 last season)

How to Prevent the Flu
The Centers for Disease Control and Prevention recommends that everyone 6 months and older get a flu shot every year. It takes about two weeks for immunity to develop.
Flu vaccination is especially important for people who are at high risk of developing serious complications from influenza. They include:

People with chronic medical conditions like asthma, diabetes and lung disease, even if symptoms are under control
Pregnant women
People aged 65 years and older
People who live with or care for others who are at higher risk

In addition to getting vaccinated, people should also do the following to avoid getting sick:

Wash hands thoroughly and often
Use hand sanitizers
Stay away from sick people
Avoid touching your eyes, nose, and mouth
Clean commonly touched surfaces
If you are sick, stay home and avoid contact with others

The flu vaccine is available at doctors’ offices and retail pharmacies. If you don’t have medical insurance, you can go to a County public health center to get vaccinated. For a list of locations, visit www.sdiz.org or call 211 San Diego.
 "
9,New Non-Stop Charter Flights to and From Taos Start at McClellan-Palomar Airport,"A new seasonal air charter service is scheduled to start flying Thursday between the County’s McClellan-Palomar Airport and Taos, New Mexico through the end of March.",https://www.countynewscenter.com/new-non-stop-charter-flights-to-taos-start-at-mcclellan-palomar-airport/,2020-01-08T14:29:50-08:00,"
A new seasonal air charter service is scheduled to start flying Thursday between the County’s McClellan-Palomar Airport and Taos, New Mexico through the end of March.
Taos Air, a private air charter service that operates out of Taos, New Mexico, is scheduled to fly its first 30-seat jet charter flight into McClellan-Palomar at 12:45 p.m. Thursday, and fly back out to Taos Regional Airport at 1:30 p.m.
County officials said that Taos Air plans to fly Dornier 328 jets to and from McClellan-Palomar Thursdays, Saturdays and Sundays — or holiday Mondays —through March 29. More information about Taos Air and flights can be found on its website.
The public charter service will provide San Diego County residents the only non-stop airline service from San Diego County to the Taos ski resort area.
Taos Air Director of Operations Joe Zavda, who plans to be at McClellan-Palomar Thursday to greet the services first customers, said the company was very excited about the new service.
County Supervisor Jim Desmond, whose district includes McClellan-Palomar, said, “this is a great new service for residents and the economy of North County. Being able to fly directly from North County to Taos will be a great opportunity for both cities!”
Taos Air also flies charter services to and from Taos Regional Airport and Dallas, Texas, Austin, Texas and Los Angeles.
McClellan-Palomar Airport is one of eight airports operated by the County of San Diego’s Department of Public Works and the only one that operates scheduled public charter flights for county residents.
Because McClellan-Palomar is a smaller airport, passengers can escape the traffic, expensive parking and long security lines at other major airports.
The County has made several improvements at McClellan-Palomar in recent years, including a $24 million renovation in 2009 that added a modernized 18,000-square-foot terminal, parking and a restaurant, “The Landings.”
Parking at McClellan-Palomar airport is $5 a day.
 "
